tconst,titleType,primaryTitle,genres,Sinopsis
tt0167261,movie,The Lord of the Rings: The Two Towers,"[28, 12, 18]","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
tt0167330,movie,Peefeeyatko,"[-1, 99, 10402]","For the past ten years Zappa in composing has turned away from Rock and Roll music - for which he first became famous - and has been working on new, contemporary, orchestral electronic music; in solitude and beyond any commercial conventions or commitments. It is the first time that Zappa has allowed a film crew to study him during compositional work, actually filming the first moments of a new compositional process. By contrast, in a staged interview Zappa gives comments on music. This film seeks to reveal the sensetivities of Zappa's personality and character also beyond narrative content."
tt0167331,movie,Cosy Dens,"[35, 18]","Two families, Sebkovi and Krausovi, are celebrating Christmas, but not everyone is in a good mood. The teenage kids think that their fathers are totally stupid, and the fathers are sure that their children are nothing more than rebels, hating anything they say."
tt0167404,movie,The Sixth Sense,"[18, 9648, 53]","Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret."
tt0168525,movie,Bob Marley,"[99, 10402]",
tt0169102,movie,Lagaan: Once Upon a Time in India,"[18, -1, -1]","In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match."
tt0169547,movie,American Beauty,[18],"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
tt0169858,movie,Neon Genesis Evangelion: The End of Evangelion,"[28, 16, 18]","The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities."
tt0170104,movie,Kay tagal kang hinintay,"[18, 10749]",Ana and Alex fall in love in nostalgic Ilocos. But their individual dreams and responsibilities get in the way of their relationship.
tt0170532,movie,Ry Cooder & The Moula Banda Rhythm Aces: Let's Have a Ball,[99],"Following a brief statement by Ry Cooder on his thoughts about performing - and improvising - on stage, this concert film depicts Cooder's 1987 live show in Santa Cruz, California, which was part of his ""Get Rhythm"" world tour."
tt0170783,movie,Yesterday,[18],"The 1960s was the time of Beatles and Rolling Stones, the time of sexual revolution. These events have their echo in Bulgarian English-learning school. The school order provokes a protest of the students due to the narrow-minded teachers."
tt0170884,movie,Cappuccino,[53],"Victor is a journalist, his wife Vanessa is in health care writing a thesis on how some women use sex to get what they want. One morning she tells him he's stopped listening to her, stopped trying to figure out her needs, and hasn't satisfied her for months. At a bar two hours later, a seductive married women, whom he nicknames Cappuccino, comes onto him, inviting him to play a game. She gives him a phone number missing the last digit, meets him in an abandoned house, appears in his shower while Vanessa's at work: soon he's obsessed even as Vanessa tries to regain his attention. When Cappuccino shows up with a black eye, Victor decides her abusive husband must be stopped"
tt0171564,movie,Nëntori i dytë,[18],A historical drama focusing on the days leading up to Albania's declaration of independence from the Ottoman Empire in November 1912.
tt0171827,movie,The Thundering 8th,"[28, 18, 10749]",
tt0172495,movie,Gladiator,"[28, 12, 18]","In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
tt0172811,movie,"My Dad, the Socialist Kulak",[35],Year 1945. The second World War is over and the soldiers from the disbanded army are returning home. Yet there is still no sign of Joze Malek.
tt0173615,movie,Adaptatziya,[18],"Where does the dividing line lie between insanity and supersensitive mentality? How should we treat people who act in a different way then we do? A young and gifted shrink sets up a group, using up-to-date and unknown methods. His idea is to socialize such people, to integrate them into a society they keep aloof from, and help them to survive."
tt0173772,movie,My Voyage to Italy,[99],World-renowned director Martin Scorsese narrates this journey through his favorites in Italian cinema.
tt0173956,movie,Ölsäm... bagisla,"[18, 10749]","A soldier recently returned home finds it hard to scrape by, and the girl he loved married."
tt0174299,movie,In the Name of the People,[18],"In an industrial town one business firm stands out with good management. Thanks to the agile director Todor, his successful policy of ""World breakthrough"" the whole town look forward to progress and incredibly quick prosperity in 1966. The director's driver Milutin is the center of absurdly dramatic relations in which base manipulation dominates. His lonely, consequent, and reasonable admiration for Todor, his honesty and goodwill bring him into situations to which he can't and won't adapt to, nor will he quit..."
tt0175521,movie,The Challenge of Change,"[-1, 99]",
tt0175880,movie,Magnolia,[18],"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley."
tt0176093,movie,Return with Honor,[99],The story of U.S. fighter pilots shot down over North Vietnam who became POWs for up to 8 and a half years.
tt0176318,movie,The Week That Girl Died,"[35, 18]","The lives of three lifelong buddies in a small New England fishing town will never be the same after The Week That Girl Died, a touching romantic comedy about finding Ms. Right-at all the wrong times. Vinnie (Erik Palladino) bumps into the attractive Jessie(Brigitte Bako) at his uncle's wake, and when his aunt mistakes her for his latest girlfriend, she gladly plays the part-leaving out one small detail. Jimmy(Robert Longstreet) sets his sights on the seedy part of town-only to find love (Justina Machado) waiting for him in the least likely of places. And Ralph (Patrick Fischler) woke up a virgin on Friday morning only to have that situation reversed two times over by Saturday night. With an original score by jazz musician Kevin Eubanks (The Tonight Show with Jay Leno) ""The Week That Girl Died"" takes the notion of the romantic comedy and gives it a dose of what real people go through."
tt0176507,movie,Baraka,[99],
tt0176694,movie,The Tragedy of Man,"[16, 18, 36]","Jankovics's adaptation of the eponymous play is divided into multiple parts, and depicts the creation and fall of Man throughout history."
tt0176703,movie,Everybody Wants to Help Ernest,[35],"Ernst, a man in his thirties has lost his memory after an accident. His parents see this situation as another chance to raise Ernst into a perfect son, and enlist the help of a psychiatrist, a priest and an ideal daughter-in-law to be."
tt0179918,movie,Kamiondzije opet voze,"[35, 18]","New adventures of truck drivers Jare and Paja, long-time fellow associates and close friends. Jare is forced to pay off his debt for the loans he was raising to build a house for his numerous family. He must find heaps of money as soon as possible, or let tax gatherers to take everything. Paja tries to help him in this impossible task, but on their way they face bunch of obstacles, losses and misfortunes, encountering all sorts of people, only to end up in serious problems."
tt0179955,movie,Cat City,"[12, 16, 35]","In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have found the weapon against the threat - so Intermouse calls its best (albeit retired) agent, Nick Grabowsky, to get the plans. As a distraction for the Cats, they also send a second agent - Seargent Lazy Dick - for the mission."
tt0180093,movie,Requiem for a Dream,[18],The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.
tt0184038,movie,The World of Tomorrow,[99],"Documentary featuring original materials from the 1939 New York World's Fair.  Includes film images of Jason Robards Jr. as a child at the World's Fair and clips from the promotional film ""The Middleton Family at the New York World's Fair"" (1939)."
tt0184756,movie,Mr. Muhsin,"[35, 18, 10402]",An ingenuous countryman Ali Nazik migrates to Istanbul and meets producer Mr. Muhsin to have his first album.
tt0184765,movie,"Mémoires d'immigrés, l'héritage maghrébin",[99],A three part story of the North African immigration to France.
tt0185572,movie,Once Brothers,[99],
tt0185717,movie,Rollins: Talking from the Box,"[99, 10402]","Henry Rollins is best known as the former frontman of the hardcore punk outfit Black Flag, as well as the equally hard-hitting Rollins Band. This movie captures his unique brand of spoken word. Henry Rollins Goes to London is the second performance in a two-disc set and was recorded live on February 14 and 15, 1993, at the Astoria Theater. The first performance in the set, ""Henry Rollins: Talking From the Box"" was recorded on May 28, 1992, at the Henry Fonda Theater in Los Angeles, CA. Rollins shares his personal experiences and speaks his mind on politics, crime, sex, and relationships."
tt0185783,movie,You Saw Me Up There,[99],"Henry Rollins live at the El Ray Theatre, Los Angeles 1996."
tt0185859,movie,Baby Tsina,[18],Baby Tsina a famous underworld figure during the 50's who acquired the nickname because of her ivory skin and slanting eyes. She led the police in a frenetic chase before she was convicted for murder. Ironically it was a crime she did not commit. While in jail though she underwent a transformation and led the other inmates in seeking for reforms in the local penal system. An engrossing film with superior performances from the entire cast.
tt0185994,movie,Club Head 2,[-1],
tt0186154,movie,Gaano kadalas ang minsan?,[18],"They are two women in love with one man. One is the wife, the other is the mistress. And between them, the man whose love and time they share. But even the most discreet of affairs can be laid open, and the most submissive of wives can lose her patience. Vilma Santos, Hilda Koronel and Dindo Fernando lend their thespic talents to this moving tale of love, betrayal and retribution."
tt0186242,movie,Ipagpatawad mo,[18],"A married couple who try to make their marriage work despite the fact that both of them are career-oriented and that there are tensions created by the prescence of their first-born child, Mike Jr., who turns out to have autism."
tt0186265,movie,Karma,[18],"Sarah is assaulted by Eric on the eve of her wedding. Years later, their paths cross again, and the coincidence leads them to a shocking discovery: They are in fact reincarnations of Enrico and Guada, illicit lovers who lived 60 years ago. Are they destined to follow the path of the long-dead couple … and with what effects on their present-day marriages?"
tt0186597,movie,Tagos ng dugo,"[80, 18, 53]",A young Pina was traumatized when her family was murdered while she had her first menstruation. She grows up into a serial killer transforming herself to different personalities as she seduced one man at a time grossly killing them while in the act of sexual pleasure.
tt0187115,movie,Kshana Kshanam,"[28, 35, 80]","Chandu is a petty thief who comes across Satya, an innocent girl who unwittingly comes across a way to a huge amount of money stolen from a bank. While the gang that robbed the bank go after her for the clue, one member dies in her apartment and she believes she's the one that killed him. Every one including the original gang that robbed the bank, the police and now Chandu and Satya go after the money."
tt0187178,movie,Jagadeka Veerudu Athiloka Sundari,"[28, 35, 10751]",
tt0187231,movie,Barking at the Stars,"[35, 10749]",Comedy about teachers and students at a high school in a small provincial town. Mihailo tries to win the heart of a girl his brother is also chasing.
tt0187318,movie,Moondram Pirai,"[18, 10749]","A young woman suffers a major head injury in a car accident after which she begins behaving like a child. Trapped at a brothel, she finds hope in a lonely school teacher who decides to rescue her."
tt0188626,movie,Fourteen Days in May,[99],"A camera crew follows Edward Earl Johnson, a man falsely convicted of rape and murder, during his last 14 days on death row. Everyone involved is interviewed, Johnson himself, his family, the warden, prison guards and other inmates. We also witness the futile attempts by his attorney to save his life."
tt0189431,movie,Club Head,[-1],
tt0190222,movie,Acta General de Chile,[99],"In 1985, Miguel Littin returned clandestinely to Chile and made this documentary divided in four parts about the political reality of the country. The parts are titled, Miguel Littin: Clandestine in Chile; The North of Chile: When I Fled to the Pampa; From the Frontier to the Interior of Chile in Flames; and Allende: the Time of History, the film features testimony from Garcia Marquez, Fidel Castro and Hortensia Bussi. Also shown is the Chile of Augusto Pinochet and Salvador Allende. When Littin returned to Spain and finished his work, Gabriel Garcia Marquez set out to write the story of the film, published under the title Clandestine in Chile: the Adventures of Miguel Littin, which quickly became a best seller."
tt0191043,movie,The Color of Paradise,"[18, 10751]","The story revolves around a blind boy named Mohammed who is released from his special school in Tehran for summer vacation. His father, shamed and burdened by Mohammed's blindness, arrives late to pick him up and then tries to convince the headmaster to keep Mohammed over the summer. The headmaster refuses, so Mohammed's father eventually takes him home."
tt0191118,movie,Evolver: Making of Youthanasia,[99],"If you ever wanted to get to know Megadeth, this is the best way to do it. This home video tells the story of the recording of Youthanasia, and contains footage from the studio, interviews with the band and an inside look at the recording of an album. Evolver's story is told by Professor Dave.  It finishes with the video for ""Train of Consequences""."
tt0191839,movie,Bob Marley Live in Concert,"[99, 10402]","1. Trenchtown Rock 2. Them Belly Full 3. I Shot The Sheriff 4. Rebel Music 5. Lively Up Yourself 6. Crazy Baldhead/ Running Away 7. War/No More Trouble 8. The Heathen 9. No Woman, No Cry 10. Jamming 11. Get Up, Stand Up! 12. Exodus"
tt0192006,movie,Eyes Beyond Seeing,[18],An enigmatic mental patient who claims to be the second coming of Jesus Christ changes the life of a psychiatrist who has lost his faith.
tt0192377,movie,The Knife,[18],"In attempt to find out who he is and where his roots lie, Alija Osmanović discovers something far deeper and more important. He slowly discovers an evil that follows him as his destiny regardless of what his ancestors were called. Trying to find the reasons for this evil, he finds himself in a vicious circle. Running away from an irrational fear within him, he eventually finds the road to his faith."
tt0192482,movie,The Way Home,"[18, 36]","The way home for Aleksandr Rekhviashvili is not charted in the conventional sense. It takes the viewer along some peculiar roads and across a unique landscape: Georgian history and legend, politics and social stratification, religion and ethics. Allusive, stylized and allegorical from beginning to end, his long-banned The Way Home is in part a tribute to Rekhviashvili’s favorite director, Pasolini, especially to The Hawks and the Sparrows (1966). Together with the short film Nutsa (1971) and the widely acclaimed Georgian Chronicle of the 19th Century (1979; SFIFF 1983), The Way Home closes a triptych of films that represent Rekhviashvili’s poetic contemplation of Georgia’s past. It makes extensive use of poems by Bella Akhmadulina (the major female poet of the cultural ‘thaw’ of the ’50s and ’60s and a Georgian by descent), and of sets by Amir Kakabadze. Like other films in the trilogy, The Way Home is stunningly photographed in black-and-white.--Oxymoron"
tt0192991,movie,Avenged,"[35, 18]",
tt0194138,movie,"Massoud, the Afghan","[99, 36, 10752]","The friendship between Christophe de Ponfilly and Commander Massoud, a legendary figure of the Afghan resistance against the Soviet invader, goes back to the filmmaker's first film, ""A Valley Against an Empire"", made in 1981. Fifteen years later, weakened, isolated, betrayed by many of his own, the ""Lion of Panshir"" has not surrendered to his new and implacable enemies, the Taliban. While preparing his next offensive, he evokes his commitment and his fights, and bears witness to a history in which he has been one of the main actors for twenty years. At the same time, the director questions the role and power of the media, as well as his own approach as a filmmaker. Commander Massoud was killed in an attack in September 2001."
tt0194196,movie,Nadie escuchaba,[99],"A documentary about the Cuban Revolution's transition into an authoritarian dictatorship, including repression, imprisonment, torture, and execution of political dissidents, while the rest of the world turned a blind eye."
tt0194724,movie,Dzma,"[12, 36]",
tt0195231,movie,Satya,"[28, 80, 18]","A young man named Satya comes to Mumbai from South India in search of a job. Jailed for something he did not do, the once-honest young man meets an underworld boss, Bhiku Mhatre in jail and joins his gang."
tt0196342,movie,The Apocalypse According to Cioran,[99],"For three days in June 1990, the famed Paris attic of Emil Cioran (1911-1995) was transformed into a film studio under the supervision of filmmaker Sorin Ilieşiu, creating an engrossing portrait of the philosopher and essayist."
tt0197294,movie,The Magnifying Lens,[18],"Vidyadharan, a clocksmith, is a widower and lives for his only daughter. However, his life takes a turn for the worse when he kills a thug suspecting him for murdering a village girl."
tt0198005,movie,Victoria and Company,[-1],
tt0198748,movie,Mergers & Acquisitions,[35],
tt0198781,movie,"Monsters, Inc.","[12, 16, 35]","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home."
tt0200087,movie,Sarfarosh,"[28, 80, 18]","When terrorists kill a cop's brother and disable his father, he fights back against the smuggling of guns and drugs which plagues his country."
tt0200698,movie,Het is een schone dag geweest,[99],"Documentary about the last four seasons on the farm run by the director's parents. The film starts on 1 January 1992, at 6 am and ends in a misty landscape at the end of that year. Het is een schone dag geweest (It's been a beautiful day) shows the end of a farm venture for which no successor has been found, but also the disappearance of a traditional way of life. Modern agriculture is ruled by new regulations, largely made in Brussels. Lonely work on a noisy machine replaces hard but communal work on the land. In a disciplined style, the film shows the disappearance of a traditional lifestyle in part of Holland. Het is een schone dag geweest was ïn 2007 admitted to the ""Canon van de Nederlandse Film"", a list of the most important Dutch films. (filmcommission.nl)"
tt0201368,movie,The Broken Landlord,"[35, 18]","The landowner (Agha) of the Haraptar village marries off his old father with the young and beautiful Kiraz. But on the nuptial night, his father dies and everthing starts to go bad for the Agha. Due to the long drought and provocations of Kekec Salman (big brother of Kiraz), the peasants steal the crops and run away to Istanbul. Without the peasants and crops, Agha is also forced to sell the village and move to Istanbul. But he cannot keep up with the big city life and consumes all his money and belongings. Agha's wife and relatives leave him during this downfall."
tt0201893,movie,Road to Albertane,[99],
tt0202055,movie,Vanaprastham,[18],"Kunhikuttan, a famous Kathakali dancer, meets Subhadra, a woman from an upper caste family, who falls in love with his character rather than himself."
tt0202281,movie,Dying at a Hospital,[18],"Filmed in a documentary style, six patients in six wards of different ages and circumstances await death at a hospital in Japan. The sterile and dismal environment is contrasted against the emotional being of the patients, their visitors and relatives and the outside world, which they will never again survey."
tt0202390,movie,Herr Zwilling und Frau Zuckermann,[99],"In the west of Ukraine, not far from the border to Romania, there is a faraway European city: Czernowitz. It was once the centre of Jewish culture in the Bukowina, a border area characterized over centuries by a multi-cultural mixture of peoples. Here, Ukrainians, Poles, Romanians, Germans and Jews lived side by side. Volker Koepp’s film focuses on Mr. Zwilling and Mrs. Zuckermann, two of the last few Jews born in the old Czernowitz. They share a friendship but also their love for the German language. Mr. Zwilling visits 90-year-old Mrs. Zuckermann daily in the early hours of the evening. They talk about old times, about shared events, about politics and literature and the worries of everyday life."
tt0202831,movie,The Children of Chabannes,"[99, 10752]","From 1939 to 1942, in the village of Chabannes in central France, more than 400 Jewish children were hidden, schooled, and ultimately saved through the heroic efforts of the school's director and teachers and of Jewish rescue organizations that first got the children there, and then, as war closed around them, got all but a handful out safely. In 1996, two aged teachers and the children and their families reunite. Lisa Gossels, whose father and uncle were among the children, records it. Survivors' comments, photos and drawings from the war, footage of the school and town, and a celebration of the heroism and leadership of the school's director, Felix Chevrier, comprise the film."
tt0203424,movie,Creative Process: Norman McLaren,"[-1, 99]","Norman McLaren was a cinematic genius who made films without cameras, and music without instruments. He produced sixty films in a stunning range of styles and techniques, collecting over 200 international awards, and world recognition. In Creative Process, director Donald McWilliams demystifies the process of artistic creation. Drawing on McLaren's private film vaults, a gold mine of experimental footage and uncompleted films, McWilliams explores McLaren's methods, including his celebrated ""pixillation"" technique, and his daring forays into animated surrealism."
tt0204425,movie,Kabamaru the Ninja,[35],"Kabamaru is a young boy raised and trained by his grandfather as a ninja. After the sudden death of his grandfather, he starts living with Mai, his grandfather’s mistress, who is a school director. He is asked to help out on struggles against other schools, as he is master of the ninja mystical arts. As time passes he will make lots of friends as well as enemies, and fall in love with Mai."
tt0204839,movie,The Art of Amália,"[-1, 99]",Documentary about the life of Portuguese Fado singer Amalia Rodrigues (1920-1999) with an interview and collection of footage from performances throughout her long career.
tt0205306,movie,A Nameless Band,"[35, 18, 10402]","Velko, Filip, Pavel and Gosho have different professions but are connected by the love they have for music. They rehearse all year to make it big on the sea resorts in the summer. The head of the cultural center where they play is willing to give them the musical equipment if they replace their singer Maria (Filip's girlfriend) with the attractive but untalented Reni. This is the first, but not the last compromise they have to make on the way to the dream."
tt0205727,movie,With Fire As Witness,[18],"Agnisakshi (With Fire As Witness) is a 1999 Malayalam film directed by Shyamaprasad based on the acclaimed novel of the same name by Lalithambika Antharjanam. Unni accepts Devaki as his wife and brings her into the fold of his Namboothiri illam. Bound by a plethora of traditional beliefs, customs and rituals that constitute life within four walls of the joint family, Unni is unable to be the husband that he would have liked to be. Yet, they understand and love each other immensely. Guarded by the fortress of tradition, the family remains oblivious to the winds of change sweeping through society. Though Unni is aware, he shuts the door to everything that his family will never be able to comprehend or accept. But Devaki, who is essentially of a different mould, longs to step out into the world — and is finally forced to do so."
tt0206118,movie,Margarit i Margarita,[18],"A pair of rebellious high school students get thrown out of home and school, then drift from job to job. Bulgaria's submission for the Academy Award for Best Foreign Language Film in 1990"
tt0206348,movie,Tjoet Nja' Dhien,"[18, 10752]","Set in 1896, ""Tjoet Nja' Dhien"" celebrates one of Indonesia's great heroes who fought for independence from the Dutch. The pious Muslim people of Aceh, a city that had flourished since ancient times as a trade port, enter into a fierce war with the Dutch. Tjoet Nja' Dhien, the widow of a rebel leader operating in Aceh in Sumatra, assumes the leadership when her husband Teuku Uma is killed in an ambush. Dhien's charismatic presence and power of survival motivate the locals to join and later continue their opposition to the Dutch. Despite personal obstacles, she remained in the thick of the struggle for ten years."
tt0206669,movie,All for Love,[18],"A middle-aged man makes every effort to provide for more or less decent life for his family. He is a driver who carries vegetables and fruits. He spends reasonable to save for his family and especially for his kid. Everything is all right until the day when the boy finds out that the part of the money have been made in indecent way. This revelation provokes a serious conflict in the family and the boy deserts his home. The man makes an attempt to put an end to his shady deals, but it turns out to be impossible. His 'employers' display exorbitant aggressiveness."
tt0206805,movie,Nós Que Aqui Estamos por Vós Esperamos,[99],"A fascinating and poetical collage of countless images from the 20th century with the purpose of revealing matters of life and death during the era and its many social, cultural and political transformations, with the director making several statements on several issues, combining fact and fiction to compose his powerful mosaic of images along with the magnificent music of Wim Mertens. A true work of art that dares to make several questions about the human condition, its contradictions and ironies."
tt0206858,movie,Kopfleuchten,[99],
tt0207481,movie,Freshmen,[18],San wonders why he's dating the cute white girl. Rick can't deal with lesbians and wonders why he can't be an English major. Judy just wonders where the next party is. And Tonisha wonders why she is fighting her life to stay in school in the first place.
tt0208092,movie,Snatch,"[35, 80]","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
tt0208242,movie,Juliette of the Herbs,[99],"A beautiful lyrical portrait of the life and work of Juliette de Bairacli Levy: herbalist, author, breeder of Afghan hounds, friend of the Gypsies, traveller in search of herbal wisdom and the pioneer of holistic veterinary medicine. Her well-loved and now classic herbal remedies for animals and for children have been a vital inspiration to the present day herbal renaissance and holistic animal care community. For more than 60 years Juliette lived with the Gypsies, nomads and peasants of the world, learning the healing arts of these people who live close to nature, and learning from nature herself. Now 85 years of age, Juliette's life story is as colourful and exciting as her tremendous wealth of herbal knowledge. Filmed on location in many beautiful countries, and interwoven with Juliette's vast collection of archival photographs, together with scenes of Gypsies dancing and Bedouins with their herds."
tt0209028,movie,Horowitz Plays Mozart,"[99, -1]","In March 1987, pianist Vladimir Horowitz embarked on an extraordinary project. For the first time in 35 years, he agreed to record with a symphony orchestra in a studio. He chose the conductor, Carlo Maria Giulini, the orchestra, the La Scala Philharmonic, and the location, the Abanella recording studio of La Scala in Milan. Horowitz steadfastly refused to allow the month-long sessions to be filmed, until the evening before the last scheduled session when he unexpectedly changed his mind. His manager, Peter Gelb, immediately telephoned Albert Maysles and Susan Froemke in New York, the co-filmmakers of ""Vladimir Horowitz: The Last Romantic."" That same night, the Maysles film crew flew from New York."
tt0209144,movie,Memento,"[9648, 53]","Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why."
tt0209180,movie,Sky Hook,"[18, 10752]","Belgrade during the height of the war Yugoslavia in 1999. Kaja struggles with daily destruction and the constant threat of being drafted, but also with his impending divorce from his wife Tijana, who wants to emigrate with their son."
tt0209898,movie,Adwa,"[99, 18, 10752]","In 1896, Ethiopia, an African nation, largely armed with spears and knives, defeats a well-equipped and organized Italian military bent on colonization."
tt0210482,movie,All Power to the People! (the Black Panther Party and Beyond),[99],"Using government documents, archive footage and direct interviews with activists and former FBI/CIA officers, All Power to the People documents the history of race relations and the Civil Rights Movement in the United States during the 1960s and 70s. Covering the history of slavery, civil-rights activists, political assassinations and exploring the methods used to divide and destroy key figures of movements by government forces, the film then contrasts into Reagan-Era events, privacy threats from new technologies and the failure of the “War on Drugs”, forming a comprehensive view of the goals, aspirations and ultimate demise of the Civil Rights Movement…"
tt0210660,movie,Dutch Harbor: Where the Sea Breaks Its Back,[99],"Having toured extensively in the U.S.and Europe with live, improvised soundtrack accompaniment by the critically acclaimed Boxhead Ensemble, Dutch Harbor sits at the forefront of a movement that opened new doors for independent distribution and cinematic experience."
tt0211645,movie,Steel Legends: Railroads of the Northeast,"[99, 36]",
tt0211915,movie,Amélie,"[35, 10749]","At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?"
tt0211942,movie,"Belfast, Maine",[99],"BELFAST, MAINE is a film about ordinary experience in a beautiful old New England port city. It is a portrait of daily life with particular emphasis on the work and the cultural life of the community. Among the activities shown in the film are the work of lobstermen, tug-boat operators, factory workers, shop owners, city counselors, doctors, judges, policemen, teachers, social workers, nurses and ministers. Cultural activities include choir rehearsal, dance class, music lessons and theatre production."
tt0213569,movie,The Komediant,"[-1, 99, 36]",A documentary on the life and career of Yiddish actor Pasach Burstein and his family.
tt0213969,movie,Padaiyappa,"[28, 35, 18]","Padayappa, a mechanical engineer whose father gives up his property to his foster brother, and then dies of shock soon after. Neelambari initially loves Padayappa, but plans to humiliate him after his family humiliates her father. The rest of the plot deals with Padayappa overcoming all the obstacles placed by Neelambari."
tt0214521,movie,Balache Baap Brahmachari,"[35, 18]",Two bachelors find an abandoned baby boy outside their house. They have no other option than to take care of him.
tt0214585,movie,Chithram,"[35, 18, -1]","A young woman is dumped by her boyfriend just before the wedding as she will not be inheriting any wealth from her father. When the girl's father pays her a visit, she hires a man to act like her husband."
tt0214799,movie,Irakal,[18],"Mathews, a ruthless rubber baron, is involved in various criminal activities. Baby, Mathews' son, begins to turn violent due to the environment he has grown up in, causing Mathews to repent his deeds."
tt0214863,movie,Kolangal,"[35, 18]","Kolangal is a 1981 Indian Malayalam film, directed by KG George and produced by D Philip and KT Varghese. The film stars Thilakan, Nedumudi Venu, Venu Nagavally and Sreenivasan in lead roles. The film is based on the story ""Oru Gramathinte Athmavu"" by P. J. Antony and depicts the life of the people of a central-Travancore village."
tt0214915,movie,Manichithrathazhu,"[35, 27, 9648]","A young couple, Ganga and Nakulan, arrives at the ancestral home called Madampalli of the latter. Hailing from a family that follows tradition and superstitions, Nakulan's uncle Thampi objects to the couple's idea of moving into the allegedly haunted mansion, which Nakulan ignores. The couple moves in anyway following which seemingly supernatural events begin to happen."
tt0215010,movie,One Piece!,[35],"Made under the restrictions of ""no zoom, pan, editing or post-sound"", directors Shinobu Yaguchi and Takuji Suzuki skewer Japanese social conventions in 14 short episodes. In one segment a woman misreads an advertisement and arrives at a job interview dressed in a bunny suit. Another concerns a woman who hides to surprise her friends only to overhear their unkind appraisal of her hygiene. And another entitled ""Grandpa from Hell"" is a surreal yarn about a cult leader. Ranging from the humorous to the deeply bizarre, the film's static, minimalistic style makes such ""Dogme 95"" films as The Celebration (1998) look extravagant."
tt0215029,movie,Panchavadi Palam,[35],"A henpecked politician wants his name attached to a new bridge, even if that means destroying another, perfectly serviceable bridge."
tt0215344,movie,Wajva Re Wajva,[35],
tt0215517,movie,Angoor,[35],A story of identical twins and mistaken identities based on Shakespeare's play A comedy of errors.
tt0215604,movie,La Cenerentola,"[35, 10402, 10749]","The Prince, Don Ramiro (who has changed places with his valet, Dandini), meets Cenerentola and they are instantly attracted to each other. When the Philosopher, Alidoro, later takes Cenerentola (dressed in magnificent clothing) to the palace, Dandini (still posing as the prince) tries to talk of love to her, but Cenerentola rejects him, saying that she is in love with his 'valet'. Ramiro, who has overheard this comment, is overjoyed, and immediately proposes to her, but Cenerentola says that he must first seek her out and then, if he still felt the same way, she would marry him. She gives him one of a matching pairs of bracelets, telling him to look for its companion on her right arm (she then leaves the palace). Ramiro ends the masquerade, and he and Dandini resume their true identities. The Prince then sets out on his quest - little realising that destiny, in the form of a violent thunderstorm, is about to take a hand in the affair."
tt0216753,movie,Flames: The Movie,"[18, 10749]","FLAMES is former TV a teen-oriented drama series and becomes a movie that is divided into two separate episodes. Episode 1: Tameme Leslie is a rich highschool student, who longs for her absentee parents. She has a cynical perception of love thus when she learns of her classmate Butch’s feelings for her, she takes it negatively. Butch on the other hand, is a poor boy who is too nervous to handle his feelings for Leslie believing he does not have any chance of making her like him. Episode 2: Pangako Karina is a young breadwinner who raised her family when her mother Dona Amparo stopped taking care of them at the death of her husband. Joel is a young delivery boy who falls in love with Karina’s meekness. As their love blooms Karina’s responsibility as a sister and daughter will stand in their way."
